ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
ヴィ,ヴィラコウシドウ琴似アネックス,札幌市西区琴似2条4丁目4-26,本通からヤマチの角を北に行き西側
ウイ|FP,ウインダムガーデン札幌大通（FP HOTELS）,札幌市中央区南２条西７丁目７−１,北向き一通西側
ヴィアイン,ヴィアインプライム札幌大通り,札幌市中央区南３条西２丁目１０−１,南向き一通西側
ヴィラ|コウシドウ,ヴィラコウシドウ 大通り,札幌市中央区大通西１４丁目３−１８,大通り１３と１４の間
エミオン,ホテルエミオン札幌,札幌市北区北８条西１丁目４番地,北８条通り　北側
オディシス,オディシス札幌大通公園ホテル,札幌市中央区大通西8-2-36,北大通りに面している　旧ベストウエスタン
オリエンタル,札幌オリエンタルホテル,札幌市中央区南８条西４丁目422番地41,鴨々川沿い西側
ガー,ガーデンズスティ東札幌,札幌市東札幌３条２丁目１−３,南郷通　旧アセントイン
ガー,札幌ガーデンパレス,札幌市中央区北１条西６丁目３−１,北2条通沿南側
ガーデンズ|キャビン,ガーデンズキャビン,札幌市中央区南１条西４丁目４−１ 太陽ビル,南1条通り　南側　１Ｆ　セブンイレブンがある
ガトーキングダム,ガトーキングダム サッポロ,札幌市北区東茨戸132番地,
カプセルイン,カプセルイン札幌,札幌市中央区南３条西３丁目７,都通り
からくさ,からくさホテル,札幌市中央区南３条西５丁目２４,南3条通　北側
クインテッサ,クインテッサホテル 札幌,札幌市中央区南８条西５丁目,セイコーマートの向かえ
クインテッサ,クインテッサホテル札幌すすきの,札幌市中央区南６条西４丁目１-２,南６条通南側　野口ビル隣
クインテッサ,クインテッサホテル札幌すすきの６３　Relax&Spa,札幌市中央区南６条西３丁目１−１１,南6条と7条の間の道　東向き一通（旧ｾﾝﾁｭﾘｵﾝﾎﾃﾙ）
クラ,ホテルクラッセスティ札幌,札幌市中央区南８条西２丁目５−９０,西3丁目通
グラ,札幌グランベルホテル,札幌市中央区南3条西8丁目10-1,アーケードのない狸小路　南側
グラ,すすきのグランベルホテル,札幌市中央区南５条西２丁目６−２,５条通　社交会館並び
グラ|メル,グランドメルキュール札幌大通公園,札幌市中央区北1条西11丁目,旧ロイトン札幌　2024年4月ＯＰＥＮ予定
クラーク,札幌クラークホテル,札幌市北区北１３条西４丁目１−１５,北大通沿い
グリーン|ことに,札幌琴似 グリーンホテル,札幌市西区琴似３条１丁目１−２０,市場通り沿い
グローバル,ホテルグローバルビュー札幌,札幌市中央区南６条西８丁目2−１,西７丁目、８丁目の間、西側
クロス,クロスホテル,札幌市中央区北２条西２丁目２３,２条と３条の間　一通東側
けい,京急ＥＸホテル札幌,札幌市北区北６条西４丁目２−６,ノースゲート跡
けい,ホテル京阪札幌,札幌市北区北６条西６丁目１−９,南から来ると一通からガード下超えて右折
けいおう,京王プラザホテル札幌,札幌市中央区北５条西７丁目２番地１,北5条通沿い
けいおう|プレリア,京王プレリアホテル札幌,札幌市北区北８条西４丁目１１−１,北8条通と北大(ほくだい)通の交差点北東角
コートヤード|マリオット,コートヤード バイ マリオット札幌,札幌市中央区南10条西1丁目1番57号,豊水通り
コトニ,ホテルコトニ札幌,札幌市西区琴似２条５丁目４−５ 屋上 1階,二十四軒・手稲通（地下鉄通）の1本南
